                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84312,                      1,                      1,                0.76742,             0.00023562,             0.00023562,             0.00023562
                      2,                0.05926,                      1,                      1,                0.74485,             0.00046893,             0.00046893,             0.00046893
                      3,                0.01947,                      1,                      1,                0.74404,             0.00069753,             0.00069753,             0.00069753
                      4,                0.05064,                      1,                      1,                0.74424,             0.00069279,             0.00069279,             0.00069279
                      5,                0.03012,                      1,                      1,                0.74371,             0.00069279,             0.00069279,             0.00069279
                      6,                0.01808,                      1,                      1,                0.74373,             0.00068573,             0.00068573,             0.00068573
                      7,                0.02296,                      1,                      1,                0.74371,             0.00067866,             0.00067866,             0.00067866
                      8,                0.01788,                      1,                      1,                 0.7437,             0.00067159,             0.00067159,             0.00067159
                      9,                0.00837,                      1,                      1,                0.74371,             0.00066452,             0.00066452,             0.00066452
                     10,                0.00865,                      1,                      1,                0.74387,             0.00065745,             0.00065745,             0.00065745
                     11,                0.01411,                      1,                      1,                0.74368,             0.00065038,             0.00065038,             0.00065038
                     12,                0.01397,                      1,                      1,                0.74374,             0.00064331,             0.00064331,             0.00064331
                     13,                 0.0074,                      1,                      1,                0.74367,             0.00063625,             0.00063625,             0.00063625
                     14,                 0.0092,                      1,                      1,                0.74367,             0.00062918,             0.00062918,             0.00062918
                     15,                0.00817,                      1,                      1,                0.74367,             0.00062211,             0.00062211,             0.00062211
                     16,                0.01258,                      1,                      1,                0.74367,             0.00061504,             0.00061504,             0.00061504
                     17,                0.01067,                      1,                      1,                0.74367,             0.00060797,             0.00060797,             0.00060797
                     18,                0.00981,                      1,                      1,                0.74367,              0.0006009,              0.0006009,              0.0006009
                     19,                0.00786,                      1,                      1,                0.74367,             0.00059383,             0.00059383,             0.00059383
                     20,                0.01103,                      1,                      1,                0.74367,             0.00058677,             0.00058677,             0.00058677
                     21,                0.00586,                      1,                      1,                0.74367,              0.0005797,              0.0005797,              0.0005797
                     22,                0.00695,                      1,                      1,                0.74367,             0.00057263,             0.00057263,             0.00057263
                     23,                0.00661,                      1,                      1,                0.74367,             0.00056556,             0.00056556,             0.00056556
                     24,                0.00613,                      1,                      1,                0.74367,             0.00055849,             0.00055849,             0.00055849
