                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3512,                 1.7105,                 1.0961,                      1,                0.25077,                0.79523,                0.49428,                 1.3251,                 2.4877,                 1.0611,             0.00065041,             0.00065041,             0.00065041
                      2,                 1.1412,                0.76226,                0.98807,                      1,                0.98928,                  0.995,                0.72217,                0.97542,                 1.5776,                0.92541,              0.0013019,              0.0013019,              0.0013019
                      3,                 1.1205,                0.68949,                0.98026,                  0.998,                      1,                  0.995,                0.71175,                0.99748,                0.75259,                0.97579,              0.0019381,              0.0019381,              0.0019381
                      4,                 1.0776,                 0.6365,                0.97405,                0.99917,                      1,                  0.995,                0.74973,                0.89116,                0.60317,                0.94774,              0.0019309,              0.0019309,              0.0019309
                      5,                 1.0653,                0.59861,                 0.9636,                0.99949,                      1,                  0.995,                0.72198,                0.97124,                0.54776,                0.97221,              0.0019309,              0.0019309,              0.0019309
                      6,                 1.0517,                0.58792,                 0.9655,                0.99841,                      1,                  0.995,                0.74527,                0.95161,                0.56453,                0.97348,              0.0019079,              0.0019079,              0.0019079
                      7,                 1.0298,                 0.5598,                0.95373,                0.99947,                      1,                  0.995,                0.67435,                 1.1517,                 0.5062,                 1.0284,              0.0018849,              0.0018849,              0.0018849
                      8,                 1.0151,                0.51716,                0.94993,                 0.9995,                      1,                  0.995,                0.71285,                 1.0655,                 0.4761,                 1.0116,              0.0018619,              0.0018619,              0.0018619
                      9,                 0.9992,                 0.5026,                0.94996,                0.99939,                      1,                  0.995,                0.73259,                 1.0017,                0.49128,                 0.9985,              0.0018388,              0.0018388,              0.0018388
                     10,                0.99139,                 0.4897,                0.94798,                0.99948,                      1,                  0.995,                 0.7358,                0.96063,                0.44525,                 0.9748,              0.0018158,              0.0018158,              0.0018158
